tconst	titleType	primaryTitle	originalTitle	isAdult	2018	endYear	runtimeMinutes	genres
tt10130930	tvEpisode	Creating Rounded Characters (with Lou Wilson)	Creating Rounded Characters (with Lou Wilson)	0	2018	\N	53	"Comedy,Talk-Show"
tt10014042	movie	Forced Marriage	Forced Marriage	0	2018	\N	52	"Comedy,Drama"
tt10014320	tvEpisode	Verwachtingen	Verwachtingen	0	2018	\N	52	Reality-TV
tt10014904	tvMiniSeries	Beneath the Skin	Sous la peau	0	2018	2018	52	"Crime,Drama,Thriller"
tt10016428	movie	Vargit zamani	Vargit zamani	0	2018	\N	52	Documentary
tt10020648	tvEpisode	Aangaan of Vermijden	Aangaan of Vermijden	0	2018	\N	52	Reality-TV
tt10035046	tvEpisode	Nous sommes une légende: Dracula l'éternel	Nous sommes une légende: Dracula l'éternel	0	2018	\N	52	Documentary
tt10035050	tvEpisode	"Nous sommes une légende: Tarzan, le mythe de la jungle"	"Nous sommes une légende: Tarzan, le mythe de la jungle"	0	2018	\N	52	Documentary
tt10035058	tvMovie	Die Magie der Nacht in der Malerei	Die Magie der Nacht in der Malerei	0	2018	\N	52	Documentary
tt10036840	tvEpisode	Hitler sur table d'écoute	Hitler sur table d'écoute	0	2018	\N	52	"Documentary,History,War"
tt10086764	movie	MacGuffin	MacGuffin	0	2018	\N	52	"Crime,Drama,Thriller"
tt10134744	tvMovie	Trumbull Land	Trumbull Land	0	2018	\N	52	"Documentary,Sci-Fi"
tt10140156	tvMovie	"Trzy losy, jedna Polska..."	"Trzy losy, jedna Polska..."	0	2018	\N	52	"Biography,Documentary,History"
tt10017722	movie	Emiliano Queiroz: o Ator em sua Essência	Emiliano Queiroz: o Ator em sua Essência	0	2018	\N	51	"Biography,Documentary"
tt10020638	tvEpisode	Tijd om op te staan	Tijd om op te staan	0	2018	\N	51	Reality-TV
tt10020650	tvEpisode	Verandering doet pijn	Verandering doet pijn	0	2018	\N	51	Reality-TV
tt10021580	tvEpisode	1ère Partie	1ère Partie	0	2018	\N	51	"Crime,Drama,Thriller"
tt10028752	tvEpisode	Negatieve Overtuigingen	Negatieve Overtuigingen	0	2018	\N	51	Reality-TV
tt10108266	tvEpisode	Is Monogamy Dead?	Is Monogamy Dead?	0	2018	\N	51	Documentary
tt10020644	tvEpisode	Zelfsabotage	Zelfsabotage	0	2018	\N	50	Reality-TV
tt10020658	tvEpisode	Oorzaak en gevolg	Oorzaak en gevolg	0	2018	\N	50	Reality-TV
tt10023126	tvSeries	Van Algemeen Nut	Van Algemeen Nut	0	2018	\N	50	Talk-Show
tt10027366	tvMiniSeries	The Kirshenbaum Diaries	Yomanei Kirshenbaum	0	2018	2019	50	Documentary
tt10028424	video	Asia Web Awards 2018	Asia Web Awards 2018	0	2018	\N	50	Talk-Show
tt10083260	tvSeries	Pure Intention	Prom Mai Dai Likit	0	2018	2021	50	"Drama,Romance"
tt10096224	movie	Terrolun and Lunlun	Terrolun and Lunlun	0	2018	\N	50	Drama
tt10145000	tvMiniSeries	The Right to Shout	Zechut HaTzeaka	0	2018	2018	50	Documentary
tt10102814	tvEpisode	'Short Tempered'	'Short Tempered'	0	2018	\N	49	Drama
tt10118072	tvMovie	Solun do pobede	Solun do pobede	0	2018	\N	49	Documentary
tt10129824	movie	I Grew Up As You Slept	I Grew Up As You Slept	0	2018	\N	49	Documentary
tt10017502	movie	Lost Einstein	Lost Einstein	0	2018	\N	48	"Drama,Sci-Fi"
tt10027474	movie	Night of the Dead Geisha	Onsen shikabane geisha	0	2018	\N	48	"Comedy,Horror"
tt10044638	tvSeries	College Ka Pyar	College Ka Pyar	0	2018	2018	48	Comedy
tt10038308	tvEpisode	Episode #7.8	Episode #7.8	0	2018	\N	46	Talk-Show
tt10038390	tvEpisode	Episode #7.17	Episode #7.17	0	2018	\N	46	Talk-Show
tt10038440	tvEpisode	Episode #7.22	Episode #7.22	0	2018	\N	46	Talk-Show
tt10054868	tvEpisode	Blue Urgant	Blue Urgant	0	2018	\N	46	"Comedy,News,Talk-Show"
tt0547805	tvEpisode	Episode #78.16	Episode #78.16	0	2018	\N	45	Game-Show
tt0548854	tvEpisode	Episode #79.1	Episode #79.1	0	2018	\N	45	Game-Show
tt0548865	tvEpisode	Episode #79.2	Episode #79.2	0	2018	\N	45	Game-Show
tt0548876	tvEpisode	Episode #79.3	Episode #79.3	0	2018	\N	45	Game-Show
tt0548887	tvEpisode	Episode #79.4	Episode #79.4	0	2018	\N	45	Game-Show
tt0548896	tvEpisode	Episode #79.5	Episode #79.5	0	2018	\N	45	Game-Show
tt0548897	tvEpisode	Episode #79.6	Episode #79.6	0	2018	\N	45	Game-Show
tt0548898	tvEpisode	Episode #79.7	Episode #79.7	0	2018	\N	45	Game-Show
tt0958496	tvEpisode	Episode #79.23	Episode #79.23	0	2018	\N	45	Game-Show
tt0965879	tvEpisode	Episode #78.11	Episode #78.11	0	2018	\N	45	Game-Show
tt10016610	tvEpisode	Episode dated 17 May 2018	Episode dated 17 May 2018	0	2018	\N	45	News
tt10035254	tvSeries	Zatmenie	Zatmenie	0	2018	2018	45	"Crime,Drama,Romance"
